mo,c_l,c_f,L0,F0,Ad,Afer,Evap,Fero_amount,Iter,eps,threshold,Stop_max_it,Stop_eps,Stop_threshold
0.5,1,0,500,100,1,4,0.5,1000,10,10,2000,1,0,0
0.5,1,0,500,100,1,4,0.8,100000,10,10,2000,1,0,0
